id,taxa__id,tags,mime_type,src,creator,date,place,gps,permission,source,source_url,comments
5ca274d6df707e8271d76c761d601694,celosiaargentea,flower;thumbnail2,image/jpeg,,Marco Schmidt,2004-10-02,Burkina Faso,,http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/21916446,http://media.eol.org/content/2012/08/24/08/64462_orig.jpg,
ee07e33f50237317b42f21a04d2b03f5,celtistoka,fruit;leaf;thumbnail3,image/jpeg,,Marco Schmidt,2006-10-07,Burkina Faso,,http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/21916450,http://media.eol.org/content/2012/08/24/08/91266_orig.jpg,
e3f6f557e39da8c17eb5b7d3f1d16f0a,centropussenegalensis,general;thumbnail1,image/jpeg,,ThomHasi,2007-01-15,Senegal,,http://creativecommons.org/licenses/by/2.5/,http://commons.wikimedia.org/wiki/File:Senegal_Coucal_-Centropus_senegalensis_-on_tree.jpg,http://upload.wikimedia.org/wikipedia/commons/e/e0/Senegal_Coucal_-Centropus_senegalensis_-on_tree.jpg,
9173e6f1df192f2335fe18fe3defbfdd,cerastesvipera,general;thumbnail1,image/jpeg,,LA Dawson,unknown,unknown,,http://creativecommons.org/licenses/by-sa/2.5/,http://commons.wikimedia.org/wiki/File:Cerastes_vipera.jpg,http://upload.wikimedia.org/wikipedia/commons/a/a6/Cerastes_vipera.jpg,
430dbe279f77fffbb328557f334b915d,ciconiaciconia,general;thumbnail1,image/jpeg,,Dick Daniels,2010-09-29,"Plettenberg Bay, South Africa",,http://creativecommons.org/licenses/by-sa/3.0/,http://commons.wikimedia.org/wiki/File:White_Stork_RWD.jpg,http://upload.wikimedia.org/wikipedia/commons/0/06/White_Stork_RWD.jpg,
581797c0512ab0a7e647a5415fd9815b,ciconiaciconia,nest;thumbnail2,image/jpeg,,Bogdan Giuşcă,2006-07,Romania,,http://creativecommons.org/licenses/by/2.5/,http://commons.wikimedia.org/wiki/File:Berze_pe_un_stâlp.jpg,http://upload.wikimedia.org/wikipedia/commons/4/49/Berze_pe_un_st%C3%A2lp.jpg,
73b0dabf6c8d9bc9374e60ebc937fed4,cissuspopulnea,leaf;fruit;thumbnail1,image/jpeg,,Marco Schmidt,2006-10-04,Burkina Faso,,http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/21916482,http://media.eol.org/content/2012/08/24/08/14082_orig.jpg,
2e52589213a8f046d835dfc7c2f91aa7,citrussinensis,leaf;fruit;thumbnail1,image/jpeg,,Mifa,2002-11-16,"Amposta, Spain (?)",,http://creativecommons.org/licenses/by-sa/3.0/,http://commons.wikimedia.org/wiki/File:Oranges.jpg,http://upload.wikimedia.org/wikipedia/commons/8/83/Oranges.jpg,
44247f2242b4750fb2ca089bcfc2e45e,clematishirsuta,general;flower;thumbnail1,image/jpeg,,Marco Schmidt,2006-10-10,Burkina Faso,,http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/21916486,http://media.eol.org/content/2012/08/24/08/71243_orig.jpg,
f8aa8d43da8466a70ed8c3ad26b633d8,columbalivia,general;group;thumbnail1,image/jpeg,,Mike Pennington,2010-01-24,"Baltasound, Shetland, UK",60.757847 -0.861962,http://creativecommons.org/licenses/by-sa/2.0/,http://commons.wikimedia.org/wiki/File:Columba_livia_Baltasound_Shetland_1.jpg,http://upload.wikimedia.org/wikipedia/commons/b/b7/Columba_livia_Baltasound_Shetland_1.jpg,
314e5de6cfa7eef924a60e03a69792a6,columbalivia,thumbnail2,image/jpeg,,J.M.Garg,2006-11-20,"Kolkata, West Bengal, India",,http://creativecommons.org/licenses/by-sa/3.0/,http://commons.wikimedia.org/wiki/File:Blue_Rock_Pigeon_(Columba_livia)_in_Kolkata_I_IMG_9762.jpg,http://upload.wikimedia.org/wikipedia/commons/4/43/Blue_Rock_Pigeon_%28Columba_livia%29_in_Kolkata_I_IMG_9762.jpg,
350da984d4c7eb4b2844bfb24301d5c9,commelinaerecta,flower;thumbnail2,image/jpeg,,Mary Keim,2013-05-11,"Orlando Wetlands Park, Orange County, Florida, US",28.56 -81.02,http://creativecommons.org/licenses/by-nc-sa/2.0/,https://www.flickr.com/photos/38514062@N03/8733723726/sizes/o/,https://farm8.staticflickr.com/7313/8733723726_68682b2c50_o.jpg,title 'Whitemouth Dayflower (Commelina erecta)'
9a303804cb118578b3ce23fbc5c19d0c,commelinaerecta,general;thumbnail1,image/jpeg,,Steven J. Baskauf,2003-06-26,"Sycamore Creek, Ashland City, Cheatham County, Tennessee, US",,http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/20820740,http://media.eol.org/content/2012/07/15/06/45796_orig.jpg,
