id,scientific_name,synonyms,description,english_name,kingdom,phylum,class_,order,family,genus,characteristics,biotope,countries__ids,domesticated/cultivated,endemic,general_uses,notes,refs__ids,links
acanthospermumhispidum,Acanthospermum hispidum,,DC.,Upright starbur,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acanthospermum,,,"BF,BJ,CO,ML,NG,SN,TZ",,,,,,
accipiterbadius,Accipiter badius,,"(Gmelin, 1788)",Shikra,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,carnivore; body-length: 28-30 cm; grey plumage above; russet barring below; yellow legs and cere,,"BW,NA,ZA",,,,,,
accipitermelanoleucus,Accipiter melanoleucus,,"A. Smith, 1830",Black Sparrowhawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,carnivore; body-length: 46-58 cm; black and white plumage; two forms exist; a dark form wich is almost all black and a paler form with more white on the underside,"shrubland, woodland",,,,,,,
accipiterminullus,Accipiter minullus,,"(Daudin, 1800)",Little Sparrowhawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,carnivore; body-length: 23-25 cm; grey above; white rump with dakr bars; two white spots on the uppertail,woodland,,,,,,,
accipiterovampensis,Accipiter ovampensis,,"Gurney, 1875",Ovambo Sparrowhawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,carnivore; body-length: 33-40 cm; dark grey plumage; heavily barred below; black and white barred tail; orange legs; orange bill with black tip,woodland,,,,,,,
accipiterrufiventris,Accipiter rufiventris,,"A. Smith, 1830",Rufous-breasted sparrowhawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,carnivore; body-length: 33-40 cm; dark grey plumage above; rufous plumage below; yellow legs and bill,mountains,,,,,,,
accipitertachiro,Accipiter tachiro,,"(Daudin, 1800)",African Goshawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,carnivore; body-length: 36-39 cm; grey plumage; white rump with rust-coloured barring; long yellow legs,"forest, dry area",,,,,,,
achyranthesaspera,Achyranthes aspera,,L.,devil's horsewhip,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Achyranthes,,,"BW,ZA",,,,,,
achyranthesasperavar.sicula,Achyranthes aspera var. sicula,,L.,,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Achyranthes,,,"AU,BF,BW,ES,FR,IN,IT,NA,NG,PL,PT,SN,TZ",,,,,,
acinonyxjubatus,Acinonyx jubatus,,"(Schreber, 1775)",cheetah,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,"carnivore; height: 70-90 cm, the Cheetah is a large cat with long legs and a small head; the coat is yellowish-white with black spots; the ears are small and round; the Cheetah is the fastest land animal reaching speeds of more than 100 km/h; it can be distinguished from the Leopard by its longer legs and the characteristic tear marks extending from the eyes to the mouth;","grassland, desert","BW,MZ,NA,ZA,ZW",,,,,,
