id,scientific_name,species_description,english_name,kingdom,order,family,genus,characteristics,biotope,ecoregions__ids,countries__ids,general_uses,notes,refs__ids,wikipedia_url,eol_id,links
actophilornisafricanus,Actophilornis africanus,,African Jacana,Animalia,Charadriiformes,Jacanidae,Actophilornis,,,AT0101;AT0108;AT0111;AT0112;AT0119;AT0125;AT0705;AT0707;AT0711;AT0713;AT0714;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT1004;AT1005;AT1008;AT1013;AT1403,ZW;TZ;KE;ZA;LR;SN;ET;GM;GH;UG;MZ,,,,,1049286,
adansoniadigitata,Adansonia digitata,,Baobab,Plantae,Malvales,Malvaceae,Adansonia,,,AT0709,"AO,NA,ZA",,,,http://en.wikipedia.org/wiki/Adansonia_digitata,584789,
addaxnasomaculatus,Addax nasomaculatus,,Addax,Animalia,Artiodactyla,Bovidae,Addax,,,PA1303,IL,,,,,331074,
adeniumoleifolium,Adenium oleifolium,,Ouheip,Plantae,Gentianales,Apocynaceae,Adenium,"succulent, up to 1 m tall, large stem tuber above the ground, longitudinal leaves, pink flowers",,AT1309,"BW,NA,ZA",,,vanderwalt1999[86],http://en.wikipedia.org/wiki/Adenium,6851844,
aegypiinae,Aegypiinae,,Old world vulture,Animalia,Accipitriformes,Accipitridae,,,check,AT0709,"BW,NA,ZA",,,,http://en.wikipedia.org/wiki/Aegypiinae,4434126,
aepycerosmelampus,Aepyceros melampus,,Impala,Animalia,Artiodactyla,Bovidae,Aepyceros,herbivore; height: 90 cm; females lack horns,"savanna,scrubforest, grassland",AT0709,"BW,ZA",,,,http://de.wikipedia.org/wiki/aepyceros_melampus_melampus,308540,
aepycerosmelampusmelampus,Aepyceros melampus melampus,,Common impala,Animalia,Artiodactyla,Bovidae,Aepyceros,"herbivore; height: 90 cm; reddish-brown back, light brown flanks and white belly; three black stripes on the hindquarters; females are smaller and lack horns","savanna, grassland, woodland","AT0717,AT0725,AT0128,AT0719","BW,MZ,ZA,ZW",,,cillie1997[16],http://en.wikipedia.org/wiki/Aepyceros_melampus_melampus,4447118,
aepycerosmelampuspetersi,Aepyceros melampus petersi,,Black-faced impala,Animalia,Artiodactyla,Bovidae,Aepyceros,"herbivore; height: 90 cm, dull brown coat, lighter brown on the flanks and white on the belly; black blaze on the face; females are smaller and lack horns",woodland,"AT0702,AT1316","AO,NA",,,cillie1997[18],http://en.wikipedia.org/wiki/Aepyceros_melampus_petersi,10465041,
aervajavanica,Aerva javanica,,Java aerva,Plantae,Caryophyllales,Amaranthaceae,Aerva,,,PA1329;PA1332,ML;FR,,,,,483460,
aervaleucura,Aerva leucura,,Aerva sp.,Plantae,Caryophyllales,Amaranthaceae,Aerva,,,AT0709,"BW,NA,ZA",,,,http://en.wikipedia.org/wiki/Aerva_leucura,5173062,
aeschynomeneindica,Aeschynomene indica,,Indian jointvetch,Plantae,Fabales,Fabaceae,Aeschynomene,,,AA0402;AT0713;AT0722;AT0903;NA0701;PA0412,BF;ML;US;NG;AU;SN;BJ;PL,,,,,640699,
aethomyschrysophilus,Aethomys chrysophilus,,Red veld rat,Animalia,Rodentia,Muridae,Aethomys,"herbivore; length:28 cm, tail-length: 15 cm; reddish-brown above, grey-white below, scaled tail;","savanna, forest","AT0702,AT0709,AT0725,AT0726,AT0719,AT0717,AT1004,AT1012,AT1309,AT0119,AT0116,AT0128,AT1006,AT1009,AT1003,AT1314,AT0908,AT0907","BW,MZ,NA,ZA,ZW",,,stuartstuart2007[116],http://en.wikipedia.org/wiki/Aethomys_chrysophilus,1178641,
aethomysgranti,Micaelamys granti,,Grant's rock mouse,Animalia,Rodentia,Muridae,Aethomys,"herbivore; length:20 cm, tail-length: 10 cm; dark grey above, lighter below, scaled tail;","shrubland, rocky area","AT1314,AT1322,AT1203,AT1004",ZA,,,stuartstuart2007[116],http://en.wikipedia.org/wiki/Aethomys_granti,1178642,
aethomysnamaquensis,Aethomys namaquensis,,Namaqua rock rat,Animalia,Rodentia,Muridae,Aethomys,"herbivore; length:23-29 cm, tail-length: 15 cm; the fur is yellowish-brown with lighter underparts; the tail is covered in scales","savanna, forest, shrubland, grassland, rocky area, desert","AT1310,AT1315,AT1322,AT1201,AT1202,AT1203,AT1316,AT1314,AT0702,AT1309,AT0709,AT0726,AT0725,AT0717,AT1009,AT1004,AT1012,AT0116,AT0119,AT0719,AT0128","BW,MZ,NA,ZA,ZW",,micaelamys namaquensis,cillie1997[213],http://en.wikipedia.org/wiki/Aethomys_namaquensis,1178645,
