sagittariusserpentarius,AT0108;AT0704;AT0711;AT0714;AT0715;AT0716;AT0725;AT0907;AT0908;AT1004;AT1009;AT1201;AT1315
feliscatus,AA0405;AA0406;AA0407;AA0801;AA1003;IM0203;NA0402;NA0405;NA0409;NA0410;NA0413;NA0417;NA0516;NA0519;NA0524;NA0701;NA0801;NA0803;NA0804;NA0806;NA0814;NA1201;NA1202;NA1302;NA1303;NA1310;NT0145;NT0155;NT0181;NT0211;NT0310;PA0608
oreotragusoreotragus,AT0108;AT0716;AT0717;AT0721;AT0725;AT1007;AT1008;AT1203;AT1309;AT1314;AT1315;AT1316
combretumcollinumondogense,AT0722;AT0725
dombeyarotundifolia,AT1309
sarcostemmaviminale,AT0719;AT0907;AT1201
tulostomalacticeps,
eragrostistrichophora,
acacialuederitzii,
acaciatortilissubspheteracantha,AT0702;AT0711;AT0713;AT0714;AT0722;AT0725;AT0902;AT0903;AT0907;AT1309;PA0445;PA1303;PA1321
radyeraurens,
chlorocebusaethiops,AT0101;AT0112;AT0114;AT0125;AT0707;AT0709;AT0711;AT0714;AT0715;AT0716;AT0717;AT0719;AT0725;AT0726;AT0907;AT1004;AT1008;AT1203;AT1313;AT1402;AT1403
oxaliscorniculata,NA1202;PA0402;PA0425;PA0445;PA1215
aquilarapax,AT0108;AT0109;AT0112;AT0125;AT0705;AT0711;AT0714;AT0715;AT0716;AT0725;AT1005;AT1007;AT1008;AT1320;AT1402;IM0120;IM0124;IM0137;IM0150;IM0166;IM0209;IM1301
cistugolesueuri,
ricinuscommunis,AA0405;AA0406;AT0707;IM0146;NA0303;NA0414;NA0529;NA0701;NA1201;NA1202;NA1203;NA1302;NA1307;NT0148;NT0176;NT0179;NT0181;NT0205;NT0211;NT0230;OC0202;PA0402;PA0425;PA0436;PA0445;PA1203;PA1209;PA1215;PA1221
berchemiazeyheri,
pipistrellunhesperidus,
nectariniamariquensis,AT0702;AT0709;AT0711;AT0716;AT0717;AT0721;AT0725;AT0726;AT0902;AT0907;AT1004;AT1309;AT1316
cussoniapaniculata,AT1202
corvusalbus,AT0101;AT0108;AT0109;AT0111;AT0116;AT0123;AT0130;AT0707;AT0711;AT0714;AT0716;AT0717;AT0721;AT0722;AT0723;AT0725;AT1004;AT1005;AT1007;AT1015;AT1202;AT1314;AT1403;AT1405;Lake
monechmafoliosum,
grammomyscometes,
alliumcepa,AA0801;PA0402;PA0405;PA0409;PA0436;PA0445;PA0608;PA1215
dicomaschinzii,
centropussuperciliosus,AT0101;AT0108;AT0109;AT0115;AT0116;AT0705;AT0706;AT0711;AT0714;AT0715;AT0716;AT0717;AT0721;AT0725;AT1004;AT1005;AT1008;AT1012;AT1202;AT1320;AT1402;Lake
varanusexanthematicus,AT0109;AT0713;AT0725;AT0902;AT1316
alcelaphusbuselaphus,AT0108;AT0125;AT0705;AT0711;AT0712;AT0714;AT0716;AT0717;AT0721;AT0722;AT0902;AT1004;AT1012;AT1201;AT1309
mungosmungo,AT0101;AT0109;AT0116;AT0702;AT0711;AT0714;AT0715;AT0716;AT0725;AT0726;AT0902;AT0907;AT1004;AT1309;AT1316;PA1207
parotomyslittledalei,
alectraorobanchoides,
balaenopteraacutostrata,AA0409;NA0411;NA0605;NT1304;PA0429;PA0436;PA0602
cheilantheshirta,
eremopterixleucotis,AT0112;AT0702;AT0709;AT0711;AT0712;AT0713;AT0715;AT0717;AT0719;AT0722;AT0725;AT0726;AT0902;AT0907;AT0908;AT1004;AT1010;AT1314;AT1315
eleusineindica,AA0402;AA0409;NA0405;NA0413;NA0814;NT0109;PA0402;PA0432;PA1212;PA1215
talinumarnotii,
