Oxygonumdelagoense,,
chrysopogonnigritanus,AT0722;AT0907,BF;BW
chrysospalaxtrevelyani,,
chrysospalaxvillosus,,
cicadellidae,AA0406;AA0801;NA0303;NA0413;NA1201;NA1202;NA1302;NA1310;NT0205;PA0402;PA0436;PA0445;PA0608,DE;MX;NZ;SE;US
cicadidae,AA0405;AA0406;AA0408;AA0412;AA0801;AA1003;AT0119;AT0712;AT1306;IM0149;IM0150;NA0303;NA0402;NA0415;NA0503;NA0508;NA0519;NA0529;NA0814;NA0815;NA1201;NA1202;NA1303;NA1305;NA1310;NA1312;NT0130;NT0176;NT0205;NT0310;NT1314,AE;AU;CM;CR;HK;IN;MX;NZ;US;ZA
ciconia,PA0405;PA0445,DE;SE
ciconiaabdimii,AT0101;AT0108;AT0112;AT0704;AT0705;AT0711;AT0714;AT0715;AT0716;AT0717;AT0719;AT0721;AT0722;AT0725;AT0726;AT0907;AT1004;AT1005;AT1007;AT1008;AT1010;AT1302;AT1305;AT1320,BW;CD;DJ;ET;GH;KE;NG;OM;SA;TZ;UG;ZA;ZM;ZW
ciconiaciconia,PA0402;PA0405;PA0445,DE;SE
ciconiaepiscopus,AA0123;AT0101;AT0116;AT0704;AT0705;AT0711;AT0722;AT0725;AT1007;AT1013;AT1402;AT1403;AT1405;IM0105;IM0115;IM0124;IM0126;IM0135;IM0150;IM0151;IM0166;IM0202;IM0206;IM0207;IM0209;IM0210;IM0212;IM1301,ET;GH;GM;GW;ID;IN;KE;KH;LK;NP;UG;VN;ZA;ZM
ciconianigra,AT0108;AT0716;IM0105;PA0402;PA0404;PA0410;PA0412;PA0445;PA1201;PA1209;PA1303,BG;DE;ES;GR;IL;IN;KE;TR;TZ
cienfuegosiadigitata,AT0713;AT0722,BF
cinnyricinclusleucogaster,AT0101;AT0108;AT0111;AT0116;AT0119;AT0705;AT0711;AT0714;AT0716;AT0717;AT0721;AT0722;AT0725;AT0726;AT0907;AT1004;AT1007;AT1012;AT1013;AT1309;AT1320;AT1401;AT1402;AT1403,BW;ET;GH;GW;KE;MZ;NA;NG;SA;SZ;TZ;UG;ZA;ZM
circaetuscinerascens,AT0101;AT0112;AT0704;AT0705;AT0709;AT0711;AT0712;AT0716;AT0719;AT0721;AT0722;AT0725;AT0726;AT0907;AT1007,BJ;BW;CD;CM;ET;GH;KE;MW;NA;TZ;UG;ZM;ZW
circaetuscinereus,AT0101;AT0108;AT0111;AT0119;AT0125;AT0705;AT0706;AT0707;AT0711;AT0714;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT0726;AT0907;AT1007;AT1309;AT1310;AT1316,AO;BW;ET;GH;GM;KE;MZ;NA;SD;SZ;TZ;UG;ZA;ZM;ZW
circaetusfasciolatus,AT0109;AT0116;AT0119;AT0125;AT0711;AT0725;AT1004;AT1012;AT1402;AT1405,KE;MW;MZ;TZ;ZA
circaetusgallicus,AT0112;AT0714;AT0715;AT0722;AT0901;AT1007;AT1008;AT1306;IM0150;IM0151;IM0166;IM0201;IM0206;IM0207;IM0209;IM1301;PA0402;PA0404;PA0406;PA0411;PA0436;PA0445;PA1201;PA1209;PA1211;PA1215;PA1221;PA1303;PA1320,AE;BG;CN;DE;ES;ET;FR;GH;GR;HR;IL;IN;IT;PT;SE;SN;TR;TZ
circuseruginosus,AT0707;AT0714;AT0715;AT0722;AT1007;PA0402;PA0405;PA0412;PA0445;PA1201;PA1209;PA1211;PA1215;PA1221,AT;DE;ES;ET;GM;GR;IT;NE;NL;PT;TZ
circusmacrourus,AT0112;AT0706;AT0711;AT0712;AT0713;AT0714;AT0715;AT0716;AT0721;AT1007;IM0124;IM0150;IM0166;IM0209;IM0901;IM1301;PA0405;PA0412;PA0445;PA0814;PA1207;PA1303;PA1320,AE;DE;ET;IL;IN;KE;QA;RO;SA;SN;SS;TZ;UG
circusmaurus,AT1004;AT1009;AT1012;AT1201;AT1203;AT1314;AT1322,ZA
circuspygargus,PA0402;PA0405;PA0406;PA0412;PA0419;PA0431;PA0445;PA1205;PA1209;PA1215;PA1221;PA1222,AT;DE;ES;FR;GR;IT;NL;PT;RO;RU
circusranivorus,AT0101;AT0108;AT0116;AT0119;AT0705;AT0711;AT0716;AT0721;AT0725;AT0726;AT0907;AT1004;AT1009;AT1012;AT1013;AT1203;AT1322,AO;BW;KE;MZ;NA;RW;TZ;UG;ZA;ZM
cissampelosmucronata,AT0707;AT1015,SN;TZ
cissusdoeringiigilgmbrandt,,
cissuspopulnea,AT0114;AT0130;AT0707;AT0722,BF;BJ;GN;ML;SN
cissusquadrangularis,AT0722;IM0146;IM0154,FR;LK;ML;SG
cisticolaaridulus,AT0108;AT0112;AT0119;AT0702;AT0706;AT0711;AT0713;AT0714;AT0716;AT0717;AT0725;AT0902;AT0907;AT0908;AT1309;AT1314;AT1316,BW;CM;ET;KE;MZ;NA;NE;TZ;ZA;ZM
cisticolarufilatus,AT0702;AT0704;AT0709;AT0717;AT0723;AT0725;AT0726;AT0902;AT0907;AT0908;AT1009;AT1309;AT1316,BW;GA;NA;ZA;ZM
cistugolesueuri,,
cistugoseabrai,,
citharidiumansorgii,,
citharinopsdistichodoides,,
citharinuscitharus,,
citharinuslatus,,
citrulluscolocynthis,AA0802;AA1207;AT0713;AT0722;AT0902;AT0903;AT1320;PA0402;PA0406;PA0412;PA0436;PA0445;PA1212;PA1215;PA1216;PA1321;PA1329;PA1332,AU;BF;DE;ES;FR;MA;ML;NA;NG;SA;SE;SN
citrulluslanatus,AA0402;AA0409;AA0802;AA1207;PA0402;PA0436;PA0608;PA1201;PA1221,AU;FI;FR;PT;SE;TR
citruslimon,AA0405;AA0408;AA0409;AA0801;AT0707;AT1316;IM0119;NA0409;NA1201;PA0402;PA0436;PA0445;PA0501;PA1201;PA1207;PA1211;PA1214;PA1215;PA1221;PA1222,AU;DE;ES;FR;IT;NA;NZ;PT;SE;TN;TR;US
citrusmaxima,AT0707;AT1403;OC0106;PA0415;PA0436,CN;GN;SE;US
citrussinensis,AA0801;AT0707;AT1403;NA0303;NA0529;NA1311;NT0205;PA0402;PA0436;PA0445;PA0608;PA1201;PA1206;PA1209;PA1211;PA1214;PA1215;PA1220;PA1221,CY;ES;FR;GN;GR;IT;MX;NZ;PT;SE;TN;TR;US
civettictiscivetta,AT0102;AT0108;AT0111;AT0114;AT0130;AT0707;AT0711;AT0714;AT0719;AT0725;AT1403,CI;GH;GN;GQ;KE;LR;TZ;ZA;ZM
clamatorglandarius,AT0111;AT0112;AT0714;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT1008;PA0406;PA1206;PA1207;PA1209;PA1212;PA1215;PA1221;PA1303;PA1320;PA1325,AE;CY;ES;ET;FR;GH;GR;IL;KE;KW;MA;PT;SA;TR;TZ;UG;ZA
clamatorlevaillantii,AT0101;AT0107;AT0108;AT0111;AT0114;AT0119;AT0704;AT0705;AT0707;AT0716;AT0717;AT0721;AT0722;AT0725;AT0907;AT1005;AT1007;AT1013;AT1403,BJ;BW;CD;CM;ET;GH;GN;KE;LR;RW;SZ;TG;TZ;UG;ZA;ZM
claroteslaticeps,,
clematishirsuta,AT0130;AT0722,BJ;GN
clematisoweniae,,
cleomeangustifolia,,
cleomekalachariensis,,
cleomemonophylla,AT0713;AT0722;AT1015,BF;ML;NG;TZ
cleomepaxii,,
cleomesp,AT0202;AT0702;IM0146;NT0121;NT0146;NT0178;NT0303;PA0436;PA1208;PA1209;PA1212;PA1216;PA1221;PA1332,EC;EH;ES;FR;GT;MG;MX;NA;SE;SG
clerodendrumternatum,,
cloeotispercivali,AT0725,ZA
clutiapulchella,,
cocciniagrandis,AT0125;AT1402;IM0154,LK;TZ
cocciniarehmannii,,
cocciniasessilifolia,,
cocculuspendulus,AT0903,ML
cochlospermumplanchonii,AT0111;AT0722,BF;BJ;CI
colaacuminata,AT0111,FR
colanitida,AT0111;AT0130;AT0707;AT1403,CI;GH;GN
coldeniaprocumbens,AT0722,BF
coleoptera,AA0405;AA1003;NA0523;NA1201;NA1202;NT0176;NT0217;PA0405;PA0436;PA0608,MX;NZ;SE;US
coliidae,AT0101;AT0108;AT0109;AT0115;AT0116;AT0125;AT0704;AT0705;AT0711;AT0712;AT0714;AT0715;AT0716;AT0717;AT0721;AT0723;AT0725;AT1004;AT1007;AT1009;AT1012;AT1314;AT1405,CG;ET;KE;LS;MZ;SS;TZ;UG;ZA
colocasiaesculenta,AA0115;AA0402;AA0406;AT0114;AT0130;AT1015;NA0701;NA0806;NA1312;OC0106;OC0112;OC0202;PA0403;PA0501;PA1215,AU;ES;FJ;FR;GN;IT;NZ;PG;PT;TZ;US;WS
coloeuraafra,AT0125;AT0707;AT0722;AT1402,BF;GH;KE;SL;TZ
colophospermummopane,AT0702;AT0717;AT0725;AT0726;AT0902;AT0907;AT1316,BW;NA;ZA;ZM
colubridae,AT1318;NA0303;NA0405;NA0413;NA0513;NA0523;NA0529;NA0701;NA0804;NA0806;NA0814;NA1201;NA1202;NA1203;NA1303;NA1312;NT0166;NT0181;NT0209;NT0211;NT0212;NT0904;NT1314;PA0405;PA0436,BO;CO;CR;MX;PE;PR;PW;SE;US;YE
columbaarquatrix,AT0101;AT0108;AT0109;AT0115;AT0116;AT0711;AT0714;AT0716;AT0717;AT0721;AT0725;AT1003;AT1004;AT1005;AT1007;AT1008;AT1009;AT1012;AT1013;AT1203,ET;KE;LS;RW;TZ;UG;ZA
columbaguinea,AT0108;AT0115;AT0116;AT0707;AT0711;AT0713;AT0714;AT0715;AT0717;AT0721;AT0722;AT0901;AT1003;AT1004;AT1005;AT1007;AT1008;AT1009;AT1314;AT1403,ET;GH;GM;KE;LS;NE;SN;TZ;UG;ZA
columbalivia,PA0405;PA0436;PA0608;PA1110,SE
combretum,AA0703;AT0110;AT0111;AT0114;AT0130;AT0707;AT0709;AT0722;AT0907;AT1309;AT1316;AT1403;NT0125;NT0158;NT0209;NT0704;NT0907,AU;BR;BW;CD;CI;FR;GH;GN;GY;LR;MX;NA;NE;SR;VE
combretumaculeatum,AT0707;AT0713;AT0722,BF;FR;ML
combretumadenogonium,AT0722,FR;ML
combretumalbopunctatum,,
combretumapiculatum,AT1309;AT1316,NA
combretumcollinum,AT0707;AT0722,BJ
combretumcollinumhypopilinum,AT0722;AT0725,BF;BJ;ML;ZA
combretumcollinumondogense,AT0722;AT0725,BF;BJ;ML;ZA
combretumcollinumsubspgazense,AT0722;AT0725,BF;BJ;ML;ZA
combretumengleri,,
combretumerythrophyllum,,
combretumglutinosum,AT0707;AT0713;AT0722,BF;BJ;FR;GN;ML
combretumhereroense,AT0709;AT0907,BW;NA
combretumimberbe,AT0907;AT1316,BW;NA
combretumlecardiiengldiels,AT0707;AT0722,FR;ML
combretummicranthum,AT0114;AT0707;AT0713;AT0722;AT1403,BF;FR;GN;ML
combretummolle,AT0722;AT1015,BF;BJ;ML;TZ
combretumnioroense,AT1403,GN
combretumpaniculatum,AT0114;AT0130;AT0707;AT0722;AT0907,BF;CI;FR;GN;GW;NA;NE
combretumplatypetalum,AT1015,TZ
combretumpsidioides,,
combretumzeyheri,,
commelinaafricana,AA0402;AT0202;AT0722;AT1015,AU;BJ;MG;TZ
commelinabenghalensisbenghalensis,AA0402;AT0108;AT0125;AT0704;AT0707;AT0722;AT1015;IM0154,AU;BF;BJ;LK;ML;NG;SN;TZ
commelinadiffusadiffusa,AA0402;AT0722;IM0154;NA0409;NT0109;NT0704;PA1203,AU;BR;CO;ES;LK;NG;US
commelinaerecta,AT0722;NA0303;NA0404;NA0405;NA0412;NA0517;NA0523;NA0529;NA0701;NA0804;NA0806;NA0814;NA1311;NT0137;NT0176;NT0218;NT0310;NT0803,AR;BF;BJ;CO;JM;MX;US
commelinaforskalaei,AT0707;AT0713;AT0722,BF;NG;SN
commelinalivingstonii,AT0722,BF
commelinasubulata,AT0704;AT0722;AT1015,BF;BJ;ML;TZ
commicarpushelenae,PA1212,ES
commicarpuspentandrusburchheimerl,,
commiphoraafricana,AT0707;AT0711;AT0713;AT0722;AT1015,BF;FR;TZ
commiphoraangolensis,,
commiphoraglandulosa,AT1309,NA
commiphoramollis,AT0719,MW
commiphorapedunculata,,
commiphorapyracanthoides,AT0719,MW
coniestaignefusalis,,
connochaetesgnou,AT0716;AT0725;AT1004;AT1009;AT1012;AT1309,KE;NA;ZA
connochaetestaurinus,AT0108;AT0702;AT0709;AT0711;AT0714;AT0716;AT0717;AT0725;AT0902;AT0907;AT0908;AT1004;AT1309,BW;KE;NA;TZ;ZA;ZW
conocephalusconocephalus,AT0114;AT0130;AT0707;AT1403;PA1215;PA1222,FR;GN
convolvulusocellatus,,
convolvulussagittatus,,
conyzabonariensis,AA0402;AA0409;AA0801;NA1201;NT0109;NT0136;PA0402;PA0406;PA1212;PA1215;PA1221;PA1222,AU;CO;ES;FR;IT;NZ;PT;US
conyzaboranensis,,
coraciasabyssinicus,AT0111;AT0705;AT0707;AT0713;AT0715;AT0721;AT0722;AT1007;AT1010;AT1302;AT1320;AT1403,BF;BJ;ES;ET;GH;GM;GN;GW;NE;NG;SA;SD;SN;TD;TG;UG
coraciascaudatus,AT0108;AT0109;AT0119;AT0125;AT0704;AT0711;AT0714;AT0715;AT0716;AT0717;AT0725,CD;ET;KE;MZ;TZ;ZA
coraciasgarrulus,AT0109;AT0119;AT0706;AT0711;AT0714;AT0716;AT0717;AT0725;AT1306;PA0402;PA0404;PA0431;PA0805;PA0814;PA1207;PA1209;PA1211;PA1215;PA1303;PA1320,AE;AM;AZ;DE;ES;FR;HU;IL;IT;KE;MZ;RO;TR;TZ;UA;ZA
coraciasnaevia,AT0702;AT0707;AT0709;AT0711;AT0715;AT0716;AT0722;AT0725;AT0726;AT0902;AT0907;AT0908;AT1309;AT1315;AT1316,BW;ET;GH;GM;KE;NA;TZ;ZA
coraciidae,AA0117;AA0402;AA0409;AA0702;AA0705;AT0101;AT0111;AT0125;AT0707;AT0711;AT0712;AT0714;AT0716;AT0719;AT0721;AT0722;AT0725;AT1306;AT1403;IM0105;IM0107;IM0120;IM0131;IM0135;IM0202;IM0210;PA0402;PA0404;PA0431;PA0805;PA0814;PA1207;PA1209;PA1211;PA1215;PA1303;PA1320,AE;AM;AU;AZ;BJ;DE;ES;FR;GH;GM;HU;IL;IN;IT;KE;MZ;NE;RO;SS;TH;TR;TZ;UA;UG;ZA
corallocarpus,,
corallocarpusbainesiihookfameeuse,,
corallocarpustriangularis,,
corallocarpuswelwitschii,,
corchorus,AA0402;AT0722;NT0109,AU;CO;FR
corchorusaestuans,AT0722,BF;BJ;SN
corchorusasplenifolius,,
corchorusfascicularis,AT0722,BF;BJ;ML;NG
corchorusolitorius,AT0114;AT0707;AT0713;AT0722,BF;BJ;FR;GN;ML;NG;SN
corchorustridens,AT0707;AT0713;AT0722,BF;BJ;ML;NG;SN
cordiamyxa,AT0722,BF;ML
cordiasinensis,,
cordylustropidosternum,AT0719,ZW
coreidae,NA0409;NA0410;NA0411;NA0503;NA0523;NA0814;NA1201;NA1302;NA1311;NT0128;NT0160;NT0221;NT0310;PA0402;PA0405;PA0436;PA0445;PA0608;PA1201,BR;CO;DE;GR;MX;PE;SE;US
corvinellamelanoleuca,AT0709;AT0714;AT0716;AT0717;AT0725;AT0726;AT0907,BW;KE;NA;TZ;ZA;ZM;ZW
corvus,PA0405;PA0436;PA0608,SE
corvusalbicollis,AT0101;AT0108;AT0109;AT0115;AT0116;AT0704;AT0711;AT0714;AT0716;AT0717;AT0719;AT1003;AT1004;AT1005;AT1009;AT1012;AT1013;AT1203;AT1314,KE;LS;RW;SZ;TZ;UG;ZA;ZW
corvusalbus,AT0101;AT0108;AT0109;AT0111;AT0116;AT0123;AT0130;AT0707;AT0711;AT0714;AT0716;AT0717;AT0721;AT0722;AT0723;AT0725;AT1004;AT1005;AT1007;AT1015;AT1314;AT1403;AT1405,BJ;CD;CG;ET;GH;GM;GQ;KE;LR;NG;SL;SN;TZ;UG;ZA
corvuscapensis,AT0108;AT0112;AT0116;AT0702;AT0709;AT0711;AT0714;AT0716;AT0725;AT0902;AT0908;AT1003;AT1004;AT1005;AT1007;AT1008;AT1009;AT1201;AT1203;AT1314;AT1316,BW;ET;KE;LS;NA;TZ;ZA
corvusruficollis,AT0801;AT1302;AT1306;PA0906;PA1303;PA1320;PA1321;PA1325;PA1328,AE;CV;IL;IQ;IR;MA;OM;SA
corythaixoidesconcolor,AT0101;AT0704;AT0709;AT0716;AT0717;AT0719;AT0721;AT0725;AT0726;AT0907;AT0908;AT1009;AT1316,BW;NA;TZ;UG;ZA;ZM;ZW
coturnixadansonii,AT0704;AT0705;AT0707;AT0719;AT0721;AT1004;AT1009;AT1014;AT1402,MW;MZ;SL;UG;ZA;ZW
coturnixcoturnix,PA0402;PA0405;PA0431;PA0436;PA0445;PA0608;PA1209;PA1221,AT;DE;ES;PT;SE
coturnixdelegorguei,AT0101;AT0108;AT0109;AT0118;AT0127;AT0704;AT0705;AT0709;AT0711;AT0714;AT0716;AT0717;AT0721;AT0725;AT0907;AT0908;AT1004;AT1309;AT1316,BW;CD;KE;MG;NA;ST;TZ;UG;ZA
crataevaadansoniisubspodora,AT0707;AT0722;IM0154,FR;LK;ML
creatophoracinerea,AT0108;AT0706;AT0709;AT0711;AT0714;AT0715;AT0716;AT0717;AT0719;AT0721;AT0725;AT0726;AT0907;AT0908;AT1007;AT1009;AT1309,AO;BW;ET;KE;NA;RW;TZ;ZA;ZM
crematogaster,AA0115;AA0120;AT0725;AT1302;IM0149;IM0203;IM1301;NA0303;NA0404;NA0413;NA0804;NA0806;NA0814;NA1201;NA1202;NA1203;NA1311;NT0125;NT0154;PA0432;PA0440;PA1211;PA1215;PA1222,ES;FR;GT;HK;ID;IN;IT;JP;MX;MZ;OM;PG;SR;US
creoleonafricanus,,
crexcrex,PA0402;PA0405;PA0436;PA0445;PA0608;PA1221;PA1303,DE;ES;IL;SE
crexegregia,AT0101;AT0114;AT0119;AT0130;AT0704;AT0705;AT0712;AT0714;AT0716;AT0717;AT0719;AT0721;AT0722;AT0725;AT0726;AT0907;AT1004;AT1009;AT1010;AT1315;AT1401,BW;CD;CM;GA;GN;KE;NA;NG;RW;SL;TZ;UG;ZA;ZM;ZW
cricetomysgambianus,AT0110;AT0707;AT0718,CD;GM;GW
criniferpiscator,AT0111;AT0114;AT0123;AT0130;AT0705;AT0707;AT0722;AT1401;AT1403,BF;BJ;GH;GM;GW;LR;NG;SN;TD;TG
crinum,AA0402;AA0409;AA0802;AT0707;AT0716;AT1402;IM0154;IM0212;NA1302;NT0181;NT0230;NT0904;OC0106;PA0403,AU;FR;JM;LK;MX;MZ;PT;TZ;US
crinumfoetidum,,
crinumminimum,,
crinumornatum,AT0707;AT0722,BF;FR;SN
crociduracinderella,,
crociduracyanea,,
crociduraflavescens,,
crocidurafuscomurina,,
crocidurahirta,,
crociduraluna,,
crociduramaquassiensis,,
crociduramariquensis,,
crociduraolivieri,AT0111;AT0130,CI;GH;GN
crocidurasilacea,,
crocodylidae,AT0715;AT0716;AT0722;NA0405;NA0409;NA0523;NA0529;NA0701;NA0814;NA1312;NT0129;NT0148;NT0164;NT0166;NT0215;NT0217;NT0303;NT0709;NT0904;NT1404,CR;DO;ET;GM;KE;MX;NE;PE;TZ;US;VE
crocodylusniloticus,AT0116;AT0711;AT0713;AT0714;AT0715;AT0716;AT0721;AT0722;AT0725;AT0726;AT0907;AT1004;AT1309;AT1403;NT0164,BF;BW;ET;GH;GM;KE;MR;MU;NA;NE;SZ;TZ;UG;US;ZA;ZM
crocutacrocuta,AT0108;AT0112;AT0702;AT0709;AT0711;AT0714;AT0716;AT0719;AT0721;AT0725;AT0726;AT0902;AT0907;AT1004;AT1316;AT1403;IM0123,BW;ET;GM;KE;NA;PH;TZ;UG;ZA;ZM;ZW
crossotusalbicollis,,
crotalariaarenaria,AT0713;AT0722,BF
crotalariaatrorubens,AT0722,BF
crotalariacomosa,AT0722,NG
crotalariacuspidata,,
crotalariacylindrocarpa,AT0103,NG
crotalariadamarensis,,
crotalariaflavicarinata,,
crotalarialathyroides,,
crotalarialotoides,,
crotalariaorientalis,,
crotalariapodocarpa,,
crotalariaretusa,AT0722;NT0137;NT0220,BF;BJ;CO;FR;ML;NG;SG
crotalariaspartioides,,
crotalariasphaerocarpa,AT0907,BW
crotongratissimus,AT1309,NA
cryptocatantopshaemorrhoidalis,,
cryptochloriswintoni,,
cryptochloriszyli,,
cryptomysdamarensis,,
cryptomysdarlingi,,
cryptomysholosericeus,,
cryptomyshottentotus,,
cteniumnewtoniivarnewtonii,AT0111;AT0722,BF;BJ
ctenolepiscerasiformis,,
cuculusclamosus,AT0101;AT0107;AT0111;AT0115;AT0116;AT0119;AT0121;AT0123;AT0704;AT0705;AT0709;AT0711;AT0714;AT0716;AT0717;AT0721;AT0722;AT0725;AT0907;AT1004;AT1005;AT1009;AT1012,BW;CD;CM;GH;KE;NG;TG;TZ;UG;ZA
cuculusgularis,AT0101;AT0107;AT0108;AT0111;AT0119;AT0124;AT0702;AT0704;AT0705;AT0707;AT0711;AT0712;AT0714;AT0716;AT0717;AT0719;AT0721;AT0722;AT0725;AT0902;AT0907;AT1004;AT1010;AT1402,BW;CD;CM;GH;KE;NA;NG;SZ;TZ;UG;ZA;ZM;ZW
cucumisafricanus,,
cucumisanguriaanguria,AA0402;PA1209,AU;ES
cucumishumifructus,,
cucumiskalahariensis,,
cucumismelosubspagrestisvaragrestisnaudin,NA0701;PA0405;PA0436;PA0608;PA1201;PA1215;PA1303,FI;FR;SA;SE;TR;US
cucumismetuliferus,AT0706,TZ
cucumisprophetarumprophetarum,AT0704;AT0715;AT0722;PA1209,ES;ET;NG;TZ
cucumispustulatus,AT0713,BF
cucurbita,AA0801;NA0302;NA0801;NA0804;NA0806;NA0814;NA0815;NA1201;NA1303;NA1304;NA1308;NA1310;PA0402;PA0405;PA0436;PA0445;PA1203,DE;ES;FR;NZ;SE;US
cucurbitaceae,AT1318;AT1320;NA0410;NA0414;NA0519;NA0527;NA0801;NA1201;NA1202;NA1203;NA1303;NA1310;NT0215;NT0310;PA0402;PA0436;PA0445;PA1211;PA1215;PA1321,DE;DO;ES;FR;IT;MA;MX;SA;SE;US;YE
culicidae,AA0801;NA0303;NA0402;NA0404;NA0410;NA0413;NA0414;NA0519;NA0804;NA0806;NA1202;NA1310;NA1311;NT0205;NT0230;PA0402;PA0408;PA0412;PA0436;PA0445;PA0501;PA0608;PA1215,DE;ES;FR;GE;MX;NZ;SE;US
cullentomentosum,,
cuminumcyminum,PA1209,ES
cursoriuscursor,AT1306;IM1304;PA1212;PA1213;PA1215;PA1221;PA1303;PA1320;PA1321;PA1323;PA1325,AE;ES;FR;IL;IN;KW;MA;OM;PT;SA;TN
cursoriusrufus,AT0702;AT0709;AT0725;AT0902;AT1004;AT1009;AT1309;AT1310;AT1314;AT1315;AT1316;AT1322,AO;NA;ZA
cursoriustemminckii,AT0101;AT0112;AT0119;AT0702;AT0706;AT0709;AT0711;AT0714;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT0902;AT0907;AT1009;AT1010;AT1309;AT1316,BW;ET;GM;KE;NA;NG;TZ;UG;ZA
cussoniapaniculata,,ZA
cyamopsisserrata,,
cyaneolyttachopardi,,
cyanotislanata,AT0114;AT0722,BF;BJ;GN;NG
cybister,AT0709;AT0725;AT0902;AT1306;NA0529;NA1303;PA0402;PA0405;PA0412;PA0413;PA0436;PA0445;PA1211;PA1215,AE;BE;BW;CH;DE;FR;IT;KR;NA;SE;US;ZA
cygnusolor,PA0405;PA0412;PA0436;PA0608,DE;SE
cymbopogoncaesius,AT0907;AT1015,BW;TZ
cymbopogoncaesiusgiganteus,AT0907;AT1015,BW;TZ
cymbopogonplurinodis,,
cymbopogonschoenanthus,AT0713;AT0722,BF;BJ
cynanchumhastifolium,,
cynanchumorangeanum,,
cynanchumviminale,,
cynictispenicillata,AT0702;AT0709;AT0725;AT0902;AT1004;AT1009;AT1012;AT1309;AT1316,BW;LS;NA;ZA
cynodondactylon,AA0402;NA0405;NA0814;NA1201;NA1202;NA1303;NA1310;NT1316;PA0402;PA0405;PA0425;PA0432;PA0445;PA1215;PA1303,AU;DE;FR;MX;NL;PT;SA;SE;US
cynometravogelii,AT0722;AT1403,GN;ML
cyperaceae,AA0404;AA0405;AA0411;AA0413;AA0801;AA1003;AT0108;AT0712;IM0146;NA1310;PA0402;PA0405;PA0436;PA0445;PA0608;PA1203;PA1212;PA1215,AU;DE;DK;ES;FR;NZ;SE;SG;SS;TZ;US
cyperusamabilis,AT0114;AT0713;AT0722,BF;BJ;GN;ML;NG;SN
cyperusarticulatus,AT0907,BW
cyperusconglomeratus,AT0713,BF
cyperusdenudatus,AT0907,BW
cyperusesculentus,AT0707;AT0713;AT0722;NA0404;NA0411;NA0413;NA0415;NA0807;NA1202;PA0402;PA0406;PA0445;PA1209;PA1215,BE;BF;DE;ES;FR;NG;NL;SN;US
cyperusfulgens,,
cyperusimbricatus,,
cyperusiria,AT0713;AT0722;NA0413,AU;BF;US
cyperuslongus,AT0907;PA0402;PA0403;PA0406;PA0409;PA0425;PA0436;PA0445;PA1203;PA1204;PA1209;PA1212;PA1215;PA1216;PA1222,BW;DE;ES;FR;IE;PT;SE
cyperusmaculatus,,
cyperusmargaritaceusvahl,,
cyperusrotundus,AA0402;IM0154;NT0136;PA1215,AU;CO;ES;FR;LK;SG
cyperusspp,AA0405;AA0801;AT0108;AT0705;AT0712;AT0717;AT0722;IM0146;NA0302;NA0404;NA0409;NA0411;NA0413;NA0414;NA0415;NA0519;NA0523;NA0804;NA1201;NA1202;NA1302;NA1303;NA1311;NT0136;NT0204;NT0309;PA0402;PA0405;PA0406;PA0409;PA0436;PA1203;PA1205;PA1211;PA1212;PA1215;PA1222,CO;ES;FR;GR;IE;IT;MW;MX;NZ;SE;SG;SS;TZ;UG;US;ZW
cyperussquarrosus,AA0402;AA0802;AT0722;NT0204,AU;BF;BJ;ML;MX;NG;SN
cyperususitatus,,
cyphostemmacongestum,,
cyphostemmacymosumdesc,,
cyphostemmahereroense,,
cypsiurusparvus,AT0107;AT0109;AT0111;AT0119;AT0121;AT0130;AT0705;AT0707;AT0711;AT0714;AT0716;AT0717;AT0721;AT0722;AT0725;AT1007;AT1012;AT1401;AT1402;AT1403,BJ;CM;ET;GH;GM;GW;KE;LR;MZ;NG;SN;TZ;UG;ZA
dactylocteniumaegyptium,AT0707;AT0713;AT0722;NA0701;PA1333,BF;BJ;EG;ML;NG;SG;SN;US
dactylocteniumgiganteum,,
dalbergiamelanoxylon,AT0114;AT0130;AT0713;AT0719;AT0722;IM0154,BF;GN;LK;MW
dalechampiaparvifolia,NT0125,GY
damadama,AA0801;PA0402;PA0405;PA0409;PA0412;PA0429;PA0436;PA0445,DE;IE;NZ;SE
damaliscuskorrigum,AT0714,TZ
damaliscuslunatus,AT0101;AT0119;AT0709;AT0714;AT0716;AT0717;AT0719;AT0721;AT0725;AT0726;AT0907,BW;KE;NA;TZ;UG;ZA;ZW
damaliscuspygargusdorcas,AT0702;AT0719;AT1004;AT1009;AT1012;AT1203;AT1309,NA;ZA;ZW
damaliscuspygargusphillipsi,AT0702;AT0719;AT1004;AT1009;AT1012;AT1203;AT1309,NA;ZA;ZW
