Oxygonumdelagoense,,
aloehereroensis,AT1309;AT1316,NA
aloelittoralis,AT1309;AT1316,NA
aloetenuifolia,AT0722,BF
aloevera,AA0402;AT0722;NA1201;NA1302;NT0205;NT1305;OC0702;PA0406;PA1203;PA1212,AU;CW;ES;FR;MX;US
aloezebrina,,
alopochenaegyptiaca,PA0402;PA0445,BE;DE
alternantheraachyranthes,,
alternantherasessilis,AT0130;AT0722;AT0907;NT0218;NT0220,BF;BW;CI;FR;JM;ML;NG
alysicarpusovalifolius,AT0111;AT0114;AT0707;AT0713;AT0722,BF;BJ;GN;NG;SN
alysicarpusrugosus,AT0722;AT1015,BF;BJ;NG;TZ
amadinaerythrocephala,AT0702;AT0709;AT0717;AT0725;AT0902;AT0907;AT1002;AT1004;AT1009;AT1309;AT1314;AT1316,AO;BW;LS;NA;ZA
amadinafasciata,AT0108;AT0109;AT0112;AT0706;AT0711;AT0713;AT0714;AT0715;AT0716;AT0717;AT0722;AT0725;AT0905;AT0907;AT0908;AT1007;AT1008;AT1009,BW;CM;ET;GH;GM;KE;NG;SD;SN;SS;TZ;ZA;ZM
amaranthusblitum,AA0405;PA0402;PA0405;PA0412;PA0431;PA0436;PA0445;PA1215,AT;AU;DE;FR;HU;NL;NZ;SE
amaranthusdinteri,,
amaranthusdubius,NA0411;NT0137;PA0402;PA0445,CO;DE;US
amaranthusgraecizans,AT0713;AT0722;AT1302;PA0402;PA0405;PA0433;PA0436;PA0445;PA1208;PA1209;PA1215;PA1216;PA1219,BF;DE;ES;FR;LU;NL;SA;SE
amaranthusspinosus,AA0402;AT0722;AT1015;IM0154;PA0402;PA0406;PA0412;PA0445;PA1209;PA1215,AU;BE;BF;DE;ES;LK;ML;SN;TZ
amaranthusthunbergii,PA0402;PA0412,BE;DE
amaranthusviridis,AA0402;AA0409;AT1302;PA0406;PA0436;PA0608;PA1209,AR;AU;ES;FI;SA;SE
amaurornis,AT0101;AT0108;AT0111;AT0125;AT0126;AT0702;AT0704;AT0705;AT0707;AT0709;AT0711;AT0712;AT0713;AT0716;AT0717;AT0719;AT0721;AT0722;AT0725;AT0726;AT0907;AT1004;AT1005;AT1009;AT1309;PA0904,AO;BF;BW;CD;CM;EG;GH;GM;KE;MW;NA;TZ;UG;ZA;ZM;ZW
amaurornisflavirostra,AT0101;AT0108;AT0111;AT0112;AT0114;AT0115;AT0130;AT0705;AT0707;AT0711;AT0713;AT0714;AT0715;AT0716;AT0721;AT0722;AT0725;AT0907;AT1004;AT1007;AT1008;AT1009;AT1012;AT1013;AT1401;AT1403,BW;ET;GH;GM;KE;LR;NG;SN;TG;TZ;UG;ZA;ZM
amblysomushottentotus,,
amietiaangolensis,AT0109;AT0725,TZ;ZA
amietophrynuschanningi,AT0107;AT0110;AT0111;AT0114;AT0115;AT0121;AT0130;AT0701;AT0707;AT0712;AT0719;AT0722;AT0723;AT0725;AT0726;AT1002;AT1004;AT1201;AT1309;AT1402;AT1403;PA1214,AO;CD;CI;CM;GH;GM;GN;GW;LR;MA;ML;MZ;NA;SN;SS;TN;TZ;ZA;ZM;ZW
amietophrynusregularis,AT0110;AT0111;AT0114;AT0130;AT0707;AT1002;AT1403,AO;CD;GH;GM;GN;GW;LR
amietophrynusxeros,,
amitermes,AA0701;AT0130,AU;CI
ammanniaauriculata,AT0713;AT0722,BF;ML;NG
ammanniabaccifera,AT0722,BF;NG
ammochariscoranica,,
ammodaucusleucotrichus,PA1321,ES
amorphophallusaphyllus,AT0707;AT0722,BF;FR;ML;SN
amorphophallusbaumannii,AT0707,SN
ampelocissusafricana,AT0704,MW
ampelocissusobtusata,,
anacardiumoccidentale,AT0707;AT0722;AT1403;IM0146;IM0210;NT0130;NT0135;NT0140;NT0154;NT0171;NT1407,BR;BZ;CR;FR;GM;GN;GW;SG;SN;TT;VN
anacridiummelanorhodon,,
anacridiumwernerellum,,
anasacuta,PA0405;PA0436;PA0608,SE
anascapensis,AT0108;AT0115;AT0119;AT0702;AT0711;AT0714;AT0717;AT0725;AT0726;AT0902;AT0907;AT0908;AT1004;AT1005;AT1007;AT1009;AT1201;AT1309;AT1310;AT1315;AT1316,AO;BW;ET;KE;MZ;NA;TZ;ZA
anasclypeata,NA0411;NA0517;NA0524;NA0801;NA0814;NA1201;NA1202;NA1203;NA1302;NA1310;PA0402;PA0405;PA0436;PA0445,AT;BE;DE;MX;SE;US
anaserythrorhyncha,AT0108;AT0112;AT0116;AT0118;AT0119;AT0702;AT0709;AT0711;AT0714;AT0716;AT0717;AT0721;AT0725;AT0726;AT0902;AT0907;AT0908;AT1004;AT1008;AT1009;AT1309,BW;ET;KE;MG;MZ;NA;TZ;UG;ZA;ZM;ZW
anashottentota,AT0101;AT0108;AT0112;AT0118;AT0119;AT0709;AT0711;AT0713;AT0715;AT0716;AT0721;AT0725;AT0726;AT0907;AT0908;AT1004;AT1005;AT1007;AT1008;AT1009;AT1315,BW;ET;KE;MG;MZ;NA;SD;TZ;UG;ZA;ZM
anasquerquedula,PA0402;PA0405;PA0412;PA0436;PA0445;PA0501,AT;BE;DE;PL;SE
anassmithii,AT0115;AT0116;AT0119;AT0709;AT0711;AT0717;AT0725;AT0902;AT0908;AT1003;AT1004;AT1009;AT1201;AT1203;AT1309;AT1315;AT1322,BW;KE;NA;ZA
anassparsa,AT0108;AT0109;AT0115;AT0711;AT0716;AT0717;AT0719;AT0721;AT0725;AT1004;AT1005;AT1006;AT1007;AT1008;AT1009;AT1201;AT1203;AT1309;AT1314,ET;KE;LS;NA;TZ;UG;ZA;ZW
anastomuslamelligerus,AT0101;AT0125;AT0704;AT0705;AT0707;AT0714;AT0716;AT0721;AT0723;AT0725;AT0726;AT0907;AT1013;AT1401;IM0154,AO;BW;CD;KE;LK;MZ;NA;NG;RW;SD;TG;TZ;UG;ZA;ZM;ZW
