id,name,generic_term,plural_form,stem,root,meaning,phonetic,grammatical_info,notes,comment,source__id,language__id,species__id,refs__ids,categories__ids
oryxgazella-deu-0,Spießbock,Spießbock,,,,,,m,,http://de.wikipedia.org/wiki/Spie%C3%9Fbock,http://de.wikipedia.org/wiki/Spie%C3%9Fbock,deu,oryxgazella,,deu-saugetiere;deu-tiere
oryxgazella-deu-1,Gemsbock,Gemsbock,,,,,,m,,http://de.wikipedia.org/wiki/Spie%C3%9Fbock,http://de.wikipedia.org/wiki/Spie%C3%9Fbock,deu,oryxgazella,,deu-saugetiere;deu-tiere
otocyonmegalotis-deu-0,Löffelhund,Löffelhund,,,,,,m,,http://de.wikipedia.org/wiki/L%C3%B6ffelhund,http://de.wikipedia.org/wiki/L%C3%B6ffelhund,deu,otocyonmegalotis,,deu-saugetiere;deu-tiere
otocyonmegalotis-deu-1,Löffelfuchs,Löffelfuchs,,,,,,m,,http://de.wikipedia.org/wiki/L%C3%B6ffelhund,http://de.wikipedia.org/wiki/L%C3%B6ffelhund,deu,otocyonmegalotis,,deu-saugetiere;deu-tiere
otolemurcrassicaudatus-deu-0,Großohr-Riesengalago,Galago,,,,,,m,,,,deu,otolemurcrassicaudatus,,deu-saugetiere;deu-tiere
oxaliscorniculata-deu-0,Horn-Sauerklee,Sauerklee,,,,,,m,,http://de.wikipedia.org/wiki/Horn-SauerkleeWikipedia,http://de.wikipedia.org/wiki/Horn-SauerkleeWikipedia,deu,oxaliscorniculata,,deu-pflanzen
oxaliscorniculata-deu-1,Gehörnter Sauerklee,Sauerklee,,,,,,m,,http://de.wikipedia.org/wiki/Horn-SauerkleeWikipedia,http://de.wikipedia.org/wiki/Horn-SauerkleeWikipedia,deu,oxaliscorniculata,,deu-pflanzen
oxaliscorniculata-deu-2,Hornfrüchtiger Sauerklee,Sauerklee,,,,,,m,,http://de.wikipedia.org/wiki/Horn-SauerkleeWikipedia,http://de.wikipedia.org/wiki/Horn-SauerkleeWikipedia,deu,oxaliscorniculata,,deu-pflanzen
pantheraleo-deu-0,Löwe,Löwe,,,,,,m,,,,deu,pantheraleo,,deu-saugetiere;deu-tiere
pantheraparduspardus-deu-0,Leopard,Leopard,,,,,,m,,http://de.wikipedia.org/wiki/Leopard,http://de.wikipedia.org/wiki/Leopard,deu,pantheraparduspardus,,deu-saugetiere;deu-tiere
papioursinus-deu-0,Bärenpavian,Pavian,,,,,,m,,http://de.wikipedia.org/wiki/B%C3%A4renpavian,http://de.wikipedia.org/wiki/B%C3%A4renpavian,deu,papioursinus,,deu-saugetiere;deu-tiere
passerdomesticus-deu-0,Haussperling,Sperling,,,,,,m,,http://de.wikipedia.org/wiki/Haussperling,http://de.wikipedia.org/wiki/Haussperling,deu,passerdomesticus,,deu-vogel;deu-tiere
passerdomesticus-deu-1,Spatz,Spatz,,,,,,m,,http://de.wikipedia.org/wiki/Haussperling,http://de.wikipedia.org/wiki/Haussperling,deu,passerdomesticus,,deu-vogel;deu-tiere
pedetescapensis-deu-0,Springhase,Springhase,,,,,,m,,,,deu,pedetescapensis,,deu-saugetiere;deu-tiere
peleacapreolus-deu-0,Rehantilope,Antilope,,,,,,f,,http://de.wikipedia.org/wiki/Rehantilope,http://de.wikipedia.org/wiki/Rehantilope,deu,peleacapreolus,,deu-saugetiere;deu-tiere
pelomedusasubrufa-deu-0,Starrbrust-Pelomeduse,Pelomeduse,,,,,,f,,http://de.wikipedia.org/wiki/Starrbrust-Pelomeduse,http://de.wikipedia.org/wiki/Starrbrust-Pelomeduse,deu,pelomedusasubrufa,,deu-reptilien;deu-tiere
pennisetumglaucum-deu-0,Perlhirse,Hirse,,,,,,f,,http://de.wikipedia.org/wiki/Perlhirse,http://de.wikipedia.org/wiki/Perlhirse,deu,pennisetumglaucum,,deu-pflanzen
pentatomidae-deu-0,Baumwanze,Wanze,,,,,,f,,http://de.wikipedia.org/wiki/Baumwanzen,http://de.wikipedia.org/wiki/Baumwanzen,deu,pentatomidae,,deu-insekten;deu-wirbellose;deu-tiere
phacochoerusaethiopicus-deu-0,Warzenschwein,Schwein,,,,,,n,,,,deu,phacochoerusaethiopicus,,deu-saugetiere;deu-tiere
plectropterusgambensis-deu-0,Sporngans oder Sporengans,Gans,,,,,,f,,http://de.wikipedia.org/wiki/Sporngans,http://de.wikipedia.org/wiki/Sporngans,deu,plectropterusgambensis,,deu-vogel;deu-tiere
poecilogalealbinucha-deu-0,Weißnackenwiesel,Wiesel,,,,,,n,,http://de.wikipedia.org/wiki/Wei%C3%9Fnackenwiesel,http://de.wikipedia.org/wiki/Wei%C3%9Fnackenwiesel,deu,poecilogalealbinucha,,deu-saugetiere;deu-tiere
pompilidae-deu-0,Wegwespe,Wespe,,,,,,f,,http://de.wikipedia.org/wiki/Wegwespen,http://de.wikipedia.org/wiki/Wegwespen,deu,pompilidae,,deu-insekten;deu-wirbellose;deu-tiere
protelescristatus-deu-0,Erdwolf,Erdwolf,,,,,,m,,http://de.wikipedia.org/wiki/Erdwolf,http://de.wikipedia.org/wiki/Erdwolf,deu,protelescristatus,,deu-saugetiere;deu-tiere
psittacidae-deu-0,Eigentlicher Papagei,Papagei,,,,,,m,,http://de.wikipedia.org/wiki/Eigentliche_Papageien,http://de.wikipedia.org/wiki/Eigentliche_Papageien,deu,psittacidae,,deu-vogel;deu-tiere
psychidae-deu-0,Echter Sackträger,Echter Sackträger,,,,,,m,,http://de.wikipedia.org/wiki/Echte_Sacktr%C3%A4ger,http://de.wikipedia.org/wiki/Echte_Sacktr%C3%A4ger,deu,psychidae,,deu-insekten;deu-wirbellose;deu-tiere
pulexirritans-deu-0,Menschenfloh,Floh,,,,,,m,,http://de.wikipedia.org/wiki/Menschenfloh,http://de.wikipedia.org/wiki/Menschenfloh,deu,pulexirritans,,deu-insekten;deu-wirbellose;deu-tiere
pycnonotusbarbatus-deu-0,Graubülbül,Bülbül,,,,,,m,,http://de.wikipedia.org/wiki/Graub%C3%BClb%C3%BCl,http://de.wikipedia.org/wiki/Graub%C3%BClb%C3%BCl,deu,pycnonotusbarbatus,,deu-vogel;deu-tiere
pythonsebae-deu-0,Felsenpython,Python,,,,,,m,,http://de.wikipedia.org/wiki/Felsenpython,http://de.wikipedia.org/wiki/Felsenpython,deu,pythonsebae,,deu-reptilien;deu-tiere
queleaquelea-deu-0,Blutschnabelweber,Weber,,,,,,m,,http://de.wikipedia.org/wiki/Blutschnabelweber,http://de.wikipedia.org/wiki/Blutschnabelweber,deu,queleaquelea,,deu-vogel;deu-tiere
raphiceruscampestris-deu-0,Steinböckchen,Steinböckchen,,,,,,n,,,,deu,raphiceruscampestris,,deu-saugetiere;deu-tiere
reduncaarundinum-deu-0,Großriedbock,Riedbock,,,,,,m,,http://de.wikipedia.org/wiki/Gro%C3%9Friedbock,http://de.wikipedia.org/wiki/Gro%C3%9Friedbock,deu,reduncaarundinum,,deu-saugetiere;deu-tiere
reduviidae-deu-0,Raubwanze,Wanze,,,,,,f,,http://de.wikipedia.org/wiki/Raubwanzen,http://de.wikipedia.org/wiki/Raubwanzen,deu,reduviidae,,deu-insekten;deu-wirbellose;deu-tiere
ricinuscommunis-deu-0,Wunderbaum,Wunderbaum,,,,,,m,,http://de.wikipedia.org/wiki/Wunderbaum,http://de.wikipedia.org/wiki/Wunderbaum,deu,ricinuscommunis,,deu-pflanzen
scopusumbretta-deu-0,Hammerkopf,Hammerkopf,,,,,,m,,http://de.wikipedia.org/wiki/Hammerkopf_%28Vogel%29,http://de.wikipedia.org/wiki/Hammerkopf_%28Vogel%29,deu,scopusumbretta,,deu-vogel;deu-tiere
scopusumbretta-deu-1,Schattenvogel,Schattenvogel,,,,,,m,,http://de.wikipedia.org/wiki/Hammerkopf_%28Vogel%29,http://de.wikipedia.org/wiki/Hammerkopf_%28Vogel%29,deu,scopusumbretta,,deu-vogel;deu-tiere
serinusalario-deu-0,Alariogirlitz,Girlitz,,,,,,m,,http://de.wikipedia.org/wiki/Alariogirlitz,http://de.wikipedia.org/wiki/Alariogirlitz,deu,serinusalario,,deu-vogel;deu-tiere
sitophilusgranarius-deu-0,Kornkäfer,Käfer,,,,,,n,,http://de.wikipedia.org/wiki/Kornk%C3%A4fer; http://de.wikipedia.org/wiki/Reisk%C3%A4fer,http://de.wikipedia.org/wiki/Kornk%C3%A4fer; http://de.wikipedia.org/wiki/Reisk%C3%A4fer,deu,sitophilusgranarius,,deu-insekten;deu-wirbellose;deu-tiere
sitophilusgranarius-deu-1,Reiskäfer,Käfer,,,,,,m,,http://de.wikipedia.org/wiki/Kornk%C3%A4fer; http://de.wikipedia.org/wiki/Reisk%C3%A4fer,http://de.wikipedia.org/wiki/Kornk%C3%A4fer; http://de.wikipedia.org/wiki/Reisk%C3%A4fer,deu,sitophilusgranarius,,deu-insekten;deu-wirbellose;deu-tiere
sitophilus-deu-0,Reiskäfer,Käfer,,,,,,m,,http://de.wikipedia.org/wiki/Reisk%C3%A4fer,http://de.wikipedia.org/wiki/Reisk%C3%A4fer,deu,sitophilus,,deu-insekten;deu-wirbellose;deu-tiere
solifugae-deu-0,Walzenspinne,Spinne,,,,,,f,,http://de.wikipedia.org/wiki/Walzenspinnen,http://de.wikipedia.org/wiki/Walzenspinnen,deu,solifugae,,deu-spinnentiere;deu-wirbellose;deu-tiere
solpugidae-deu-0,Walzenspinne,Spinne,,,,,,f,,http://de.wikipedia.org/wiki/Walzenspinnen,http://de.wikipedia.org/wiki/Walzenspinnen,deu,solpugidae,,deu-spinnentiere;deu-wirbellose;deu-tiere
suricatasuricata-deu-0,Erdmännchen,Erdmännchen,,,,,,n,,,,deu,suricatasuricata,,deu-saugetiere;deu-tiere
sylvicapragrimmia-deu-0,Kronenducker,Ducker,,,,,,m,,http://de.wikipedia.org/wiki/Kronenducker,http://de.wikipedia.org/wiki/Kronenducker,deu,sylvicapragrimmia,,deu-saugetiere;deu-tiere
synceruscaffer-deu-0,Afrikanischer Büffel,Büffel,,,,,,m,,http://de.wikipedia.org/wiki/Afrikanischer_B%C3%BCffel,http://de.wikipedia.org/wiki/Afrikanischer_B%C3%BCffel,deu,synceruscaffer,,deu-saugetiere;deu-tiere
tabanidae-deu-0,Bremse,Bremse,,,,,,f,,http://de.wikipedia.org/wiki/Bremsen,http://de.wikipedia.org/wiki/Bremsen,deu,tabanidae,,deu-insekten;deu-wirbellose;deu-tiere
taeniasolium-afr-0,Schweinebandwurm,Bandwurm,,,,,,m,,http://de.wikipedia.org/wiki/Schweinebandwurm,http://de.wikipedia.org/wiki/Schweinebandwurm,deu,taeniasolium,,deu-wirbellose;deu-tiere
tagetesminuta-deu-0,Huacatay,Huacatay,,,,,,m,,http://de.wikipedia.org/wiki/Huacatay,http://de.wikipedia.org/wiki/Huacatay,deu,tagetesminuta,,deu-pflanzen
taurotragusoryx-deu-0,Elenantilope,Antilope,,,,,,f,,,,deu,taurotragusoryx,,deu-saugetiere;deu-tiere
terathopiusecaudatus-deu-0,Gaukler,Gaukler,,,,,,m,,http://de.wikipedia.org/wiki/Gaukler_%28Vogel%29,http://de.wikipedia.org/wiki/Gaukler_%28Vogel%29,deu,terathopiusecaudatus,,deu-vogel;deu-tiere
thallomyspaedulcus-deu-0,Akazienratte,Ratte,,,,,,f,,,,deu,thallomyspaedulcus,,deu-saugetiere;deu-tiere
tockuserythrorhynchus-deu-0,Rotschnabeltoko,Toko,,,,,,m,,http://de.wikipedia.org/wiki/Rotschnabeltoko,http://de.wikipedia.org/wiki/Rotschnabeltoko,deu,tockuserythrorhynchus,,deu-vogel;deu-tiere
tockusflavirostris-deu-0,Östlicher Gelbschnabeltoko,Toko,,,,,,m,,http://de.wikipedia.org/wiki/%C3%96stlicher_Gelbschnabeltoko,http://de.wikipedia.org/wiki/%C3%96stlicher_Gelbschnabeltoko,deu,tockusflavirostris,,deu-vogel;deu-tiere
tockusnasutus-deu-0,Grautoko,Toko,,,,,,m,,http://de.wikipedia.org/wiki/Grautoko,http://de.wikipedia.org/wiki/Grautoko,deu,tockusnasutus,,deu-vogel;deu-tiere
tragelaphusangasii-deu-0,Nyala,Nyala,,,,,,m,,http://de.wikipedia.org/wiki/Nyala_%28Antilope%29,http://de.wikipedia.org/wiki/Nyala_%28Antilope%29,deu,tragelaphusangasii,,deu-saugetiere;deu-tiere
tragelaphusscriptus-deu-0,Buschbock,Buschbock,,,,,,m,,http://de.wikipedia.org/wiki/Buschbock,http://de.wikipedia.org/wiki/Buschbock,deu,tragelaphusscriptus,,deu-saugetiere;deu-tiere
tragelaphusstrepsiceros-deu-0,Großer Kudu,Kudu,,,,,,m,,,,deu,tragelaphusstrepsiceros,,deu-saugetiere;deu-tiere
