id,species_id,name,mime_type,src,width,height,author,date,place,comments,keywords,permission
pergulariadaemia-1-large.jpg,pergulariadaemia,large 1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/e/e3/PergulariaDaemia02.JPG/448px-PergulariaDaemia02.JPG,448,599,Christfried Naumann,05/01/25,"Namibia, Omaheke, Pos 17",,,"{""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-2-thumbnail.jpg,pergulariadaemia,thumbnail 2,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/9/99/PergulariaDaemia03.JPG/448px-PergulariaDaemia03.JPG,448,599,Christfried Naumann,05/01/25,"Namibia, Omaheke, Pos 17",,,"{""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-2-large.jpg,pergulariadaemia,large 2,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/9/99/PergulariaDaemia03.JPG/448px-PergulariaDaemia03.JPG,448,599,Christfried Naumann,05/01/25,"Namibia, Omaheke, Pos 17",,,"{""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-3-thumbnail.jpg,pergulariadaemia,thumbnail 3,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/8/85/PergulariaDaemia04.JPG/800px-PergulariaDaemia04.JPG,800,599,Christfried Naumann,2006-12-06,"Corridor, Omaheke, Namibia",,,"{""comment"": "", please cite the author"", ""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-3-large.jpg,pergulariadaemia,large 3,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/8/85/PergulariaDaemia04.JPG/800px-PergulariaDaemia04.JPG,800,599,Christfried Naumann,2006-12-06,"Corridor, Omaheke, Namibia",,,"{""comment"": "", please cite the author"", ""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-4-thumbnail.jpg,pergulariadaemia,thumbnail 4,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/0/0d/PergulariaDaemia05.JPG/448px-PergulariaDaemia05.JPG,448,599,Christfried Naumann,2006-12-06,"Corridor, Omaheke, Namibia",,,"{""comment"": "", please cite the author"", ""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-4-large.jpg,pergulariadaemia,large 4,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/0/0d/PergulariaDaemia05.JPG/448px-PergulariaDaemia05.JPG,448,599,Christfried Naumann,2006-12-06,"Corridor, Omaheke, Namibia",,,"{""comment"": "", please cite the author"", ""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-5-thumbnail.jpg,pergulariadaemia,thumbnail 5,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/e/e2/PergulariaDaemia06.JPG/800px-PergulariaDaemia06.JPG,800,599,Christfried Naumann,2006-12-06,"Corridor, Omaheke, Namibia",,,"{""comment"": "", please cite the author"", ""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-5-large.jpg,pergulariadaemia,large 5,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/e/e2/PergulariaDaemia06.JPG/800px-PergulariaDaemia06.JPG,800,599,Christfried Naumann,2006-12-06,"Corridor, Omaheke, Namibia",,,"{""comment"": "", please cite the author"", ""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-6-thumbnail.jpg,pergulariadaemia,thumbnail 6,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/3/30/PergulariaDaemia07.JPG/799px-PergulariaDaemia07.JPG,799,599,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi, Botswana",,,"{""comment"": "", please cite the author"", ""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
