id,name,description,order,family,genus,characteristics,notes,wikipedia_url,eol_id,countries__ids,ecoregions__ids
dispholidustypus,Dispholidus typus,Boomslang,Squamata,Colubridae,Dispholidus,,,http://en.wikipedia.org/wiki/Dispholidus_typus,455553,"BW,NA,ZA","AT0709,AT1309"
dolichospratensis,Dolichos pratensis,Dolichos sp.,Fabales,Fabaceae,Dolichos,,,http://en.wikipedia.org/wiki/Dolichos_pratensis,643785,"BW,NA",AT0709
dombeyarotundifolia,Dombeya rotundifolia,wild pear,Malvales,Sterculiaceae,Dombeya,,,http://en.wikipedia.org/wiki/Dombeya_rotundifolia,33597011,"BW,ZA",AT0709
dorylushelvolus,Dorylus helvolus,Red driver ant,Hymenoptera,Formicidae,Dorylus,,,http://en.wikipedia.org/wiki/Dorylus_helvolus,399078,"BW,NA,ZA",AT1309
duvaliapolita,Duvalia polita,Duvalia sp.,Gentianales,Apocynaceae,Duvalia,,,http://en.wikipedia.org/wiki/Duvalia_polita,5337305,"BW,ZA",AT1309
dytiscussp,Dytiscus sp.,Diving beetle,Coleoptera,Dytiscidae,Dytiscus,,,http://en.wikipedia.org/wiki/Dytiscus_sp,,"BW,NA,ZA",AT1309
ehretiarigida,Ehretia rigida,"Puzzle bush, cape lilac [1]",,Boraginaceae,Ehretia,,,http://en.wikipedia.org/wiki/Ehretia_rigida,5356102,NA,AT1309
elephantorrhizaburkei,Elephantorrhiza burkei,Sumach bean,Fabales,Fabaceae,Elephantorrhiza,,,http://en.wikipedia.org/wiki/Elephantorrhiza_burkei,685709,"BW,NA",AT0709
elephantorrhizaelephantina,Elephantorrhiza elephantina,Elephant-root,Fabales,Fabaceae,Elephantorrhiza,,,http://en.wikipedia.org/wiki/Elephantorrhiza_elephantina,686277,"BW,NA,ZA",AT1309
elephantulusintufi,Elephantulus intufi,Bushvel Elephant Shrew,Macroscelidea,Macroscelididae,Elephantulus,,,http://en.wikipedia.org/wiki/Elephantulus_intufi,326389,"BW,NA",AT0709
eleusineindica,Eleusine indica,Indian goosegrass,Poales,Poaceae,Eleusine,,,http://en.wikipedia.org/wiki/Eleusine_indica,1114926,"BW,ZA",AT0709
englerophytummagalismontanum,Englerophytum magalismontanum,Stem-fruit,Ericales,Sapotaceae,Englerophytum,,,http://en.wikipedia.org/wiki/Englerophytum_magalismontanum,1145537,"BW,ZA",AT0709
eragrostislehmanniana,Eragrostis lehmanniana,Lehmann's love grass,Poales,Poaceae,Eragrostis,,,http://en.wikipedia.org/wiki/Eragrostis_lehmanniana,1114373,NA,AT1309
eragrostisrigidior,Eragrostis rigidior,curlyleaf,Poales,Poaceae,Eragrostis,,,http://en.wikipedia.org/wiki/Eragrostis_rigidior,1115637,"BW,NA",AT0709
